Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	18	3.435114503816794	4.295378849361662E-5	134, 5744, 2254, 1230, 2100, 1906, 3624, 2697, 7042, 2248, 6364, 8817, 8829, 6367, 9518, 1490, 10164, 6910	366	254	16792	3.25132309281012	0.0895079708215103	0.0895079708215103	0.07458001635688438
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	13	2.480916030534351	2.3782488696187198E-4	27122, 81029, 147111, 115908, 84133, 8313, 27121, 51339, 374946, 5071, 7481, 2737, 85407	366	163	16792	3.6591236715947564	0.40502356187265764	0.22865284201771874	0.41227389407796355
GOTERM_BP_DIRECT	GO:0045669~positive regulation of osteoblast differentiation	8	1.5267175572519083	3.104446923899374E-4	2697, 860, 115908, 1052, 652, 2737, 2201, 4488	366	60	16792	6.117304189435337	0.49227025935117974	0.20223030546194976	0.53784210298089
GOTERM_BP_DIRECT	GO:0048566~embryonic digestive tract development	5	0.9541984732824428	3.248923010739538E-4	7042, 91461, 64220, 2254, 2737	366	16	16792	14.337431693989071	0.508038654432249	0.16250399284790995	0.5628059202697822
GOTERM_BP_DIRECT	GO:0060412~ventricular septum morphogenesis	6	1.1450381679389312	3.647673256109647E-4	7042, 6659, 7049, 7481, 4092, 6926	366	29	16792	9.492368569813454	0.5490651185296327	0.14724796166429588	0.6316747720726212
GOTERM_BP_DIRECT	GO:0001937~negative regulation of endothelial cell proliferation	6	1.1450381679389312	3.647673256109647E-4	28984, 2697, 84913, 7857, 5797, 6678	366	29	16792	9.492368569813454	0.5490651185296327	0.14724796166429588	0.6316747720726212
GOTERM_BP_DIRECT	GO:0010595~positive regulation of endothelial cell migration	7	1.3358778625954197	4.550181297713468E-4	84913, 51378, 8828, 8829, 652, 1906, 6678	366	46	16792	6.981705868377287	0.6297328962125051	0.15260508253791139	0.7873825424077552
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	13	2.480916030534351	4.5539271120829163E-4	1880, 3965, 8817, 6364, 8829, 26191, 6367, 1490, 1230, 652, 9290, 960, 1116	366	175	16792	3.4082123341139736	0.6300356818159143	0.13242196427134167	0.7880283202728711
GOTERM_BP_DIRECT	GO:0035115~embryonic forelimb morphogenesis	6	1.1450381679389312	5.863677141920769E-4	860, 7291, 775, 6910, 6926, 4488	366	32	16792	8.602459016393443	0.7220783818439633	0.14790053777503132	1.013586349927098
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	16	3.0534351145038165	6.414615195057296E-4	7291, 2615, 2254, 5071, 7481, 3624, 2697, 7042, 28984, 10913, 1021, 3965, 26191, 3696, 1490, 3232	366	262	16792	2.801818712718475	0.7535903321988021	0.14413273498463353	1.1083214304857925
GOTERM_BP_DIRECT	GO:0010718~positive regulation of epithelial to mesenchymal transition	6	1.1450381679389312	6.788914104902353E-4	25805, 28984, 7042, 7291, 80139, 8313	366	33	16792	8.341778440139096	0.7729359725923858	0.13778646986487297	1.1726342472071716
