Symbol,logFC,PValue,FDR,
CG4367,-7.821774932,0.001645521,0.044689699,
CR43821,-7.213934348,0.003239127,0.065874806,
CG15905,-7.107985231,0.002781864,0.060141911,
CG18367,-7.067765368,0.000398401,0.018582686,
alpha4GT2,-6.687398672,0.001729601,0.04604372,
CG4744,-6.664491821,0.000406524,0.018760162,
Cyp6a17,-6.441893246,6.43E-07,0.000340712,
Spn77Bc,-6.362965091,2.00E-05,0.00340592,
CG6362,-6.270190794,6.54E-05,0.00646064,
CG13872,-6.055936934,0.007037237,0.101615894,
nAChRalpha2,-5.953142704,0.006627284,0.097897967,
Tm2,-5.879508465,0.003144928,0.064831747,
CR45294,-5.829306767,0.003195335,0.065440755,
CR45389,-5.740745723,0.004623681,0.080949132,
tRNA:I:49Fa,-5.734508225,0.002078486,0.051057182,
CR45173,-5.681563949,0.020193114,0.178914672,
CR43681,-5.669007109,0.002634948,0.058335745,
ms(3)K81,-5.607787938,0.012004418,0.137767243,
CR45675,-5.597742622,0.004609109,0.080774874,
Cg25C,-5.561985446,2.24E-05,0.003568551,
Ubc84D,-5.534777764,0.00424937,0.077271253,
CR32733,-5.498627269,0.004332231,0.07803369,
CG18301,-5.485876024,6.13E-05,0.006268952,
CG11023,-5.480046804,0.000191623,0.012012513,
CG43088,-5.407358666,0.013616452,0.146774927,
Def,-5.379585466,0.002991923,0.063683876,
CG31560,-5.359194871,0.01557456,0.155925744,
AttC,-5.306282301,0.006879485,0.100480729,
CG31870,-5.261155397,0.000208509,0.012532012,
CR44283,-5.253816037,0.022138363,0.188785947,
CG42685,-5.235988773,0.01047926,0.126729857,
CG13870,-5.231071497,0.008292767,0.110296951,
CR44871,-5.22838972,0.000231016,0.013291032,
CG34165,-5.202107681,0.019282289,0.174515767,
snoRNA:Me18S-G894,-5.159252647,0.018483589,0.170956092,
CR44073,-5.147824777,0.011471077,0.133663644,
CG13332,-5.138443509,0.028586627,0.214307803,
CR44323,-5.136364384,0.013467098,0.146112887,
Mur11Da,-5.132202047,0.006175758,0.094832317,
Cpr50Cb,-5.117551105,0.018239906,0.169766092,
CR13130,-5.044473067,0.022979457,0.192855422,
CR44524,-5.041188434,0.012619317,0.140491319,
CG12911,-5.035710488,0.012565997,0.140076031,
CG2574,-5.031324438,0.044640816,0.272044556,
CG5945,-5.031324438,0.044640816,0.272044556,
CG34168,-5.030367522,0.005015403,0.084585608,
CG14331,-5.029128134,0.01879978,0.17234689,
CR43274,-5.026930405,0.011075315,0.131149121,
CG45122,-5.025828417,0.007197888,0.103020509,
CR45416,-5.024731251,0.00780288,0.107121172,
CG16885,-5.018132731,0.012422012,0.139147324,
CG34259,-5.013722981,0.007096695,0.102073346,
Mdr65,-5.009317687,0.021082034,0.183536475,
CG5348,-4.97290934,7.93E-07,0.000385444,
term,-4.958787653,0.002628346,0.058263334,
CG12680,-4.917615961,0.012874405,0.142334609,
CR44684,-4.909525769,0.048357231,0.282204864,
CG5282,-4.908339372,0.010520062,0.126854412,
CG13050,-4.901381411,0.016066187,0.158522476,
CG10591,-4.893221782,0.009620964,0.121226762,
CG12934,-4.88332587,0.000609545,0.024323379,
CG33927,-4.8827015,0.023348112,0.194641791,
CG32971,-4.882341681,0.000150265,0.0103879,
CG15629,-4.881509156,2.56E-06,0.000932904,
Sfp96F,-4.879206156,0.013632374,0.146816639,
CR45556,-4.868707875,0.023234099,0.194246844,
CG5172,-4.863998557,0.027888914,0.212679144,
CG30090,-4.80066609,0.000109194,0.008641604,
CG43277,-4.793665392,0.003374625,0.067685991,
Ir7b,-4.786259519,0.014032812,0.149238314,
tbrd-1,-4.776507768,0.05281483,0.293414541,
CR45239,-4.770339822,0.036812527,0.245173077,
CR43832,-4.766561973,0.01153181,0.134014192,
CG6614,-4.759181769,0.0114471,0.133658836,
CG34054,-4.756688054,0.011939644,0.137404539,
CG6006,-4.756391793,2.41E-07,0.00016845,
CR45278,-4.755488709,0.014507186,0.150941435,
CR41443,-4.751793704,0.026259511,0.206268828,
Nplp4,-4.703914349,0.00073003,0.027636848,
CG17571,-4.695762308,0.004900547,0.08344753,
CG14244,-4.641723534,0.031739408,0.226303405,
CR43642,-4.641723534,0.031739408,0.226303405,
CG42876,-4.633905806,0.040911225,0.259534757,
snoRNA:MeU2-A31,-4.632504319,0.014493548,0.150941435,
CG5024,-4.631249175,0.020365007,0.179890898,
CR45678,-4.628591033,0.014442531,0.150715912,
CG31220,-4.627335796,0.02533128,0.202118654,
CG15109,-4.620759043,0.020242711,0.179081948,
CG14880,-4.618095992,0.014310262,0.149961938,
CG31337,-4.611509467,0.014228356,0.149748683,
CG33252,-4.610253614,0.031480757,0.225440193,
CR45731,-4.603660395,0.030067937,0.220683263,
CR45286,-4.597060849,0.030008646,0.220340563,
mir-2a-1,-4.594386909,0.019933318,0.177874354,
CG15035,-4.587778177,0.024919067,0.200103066,
TwdlBeta,-4.582187649,0.001257992,0.038066218,
CG34038,-4.564972835,0.001055146,0.034688912,
CG6277,-4.560922653,0.000667346,0.02580092,
Or83c,-4.545578719,0.004016861,0.075087224,
CG43646,-4.532746211,0.000372744,0.017763729,
l(3)72Dr,-4.529613256,0.00013718,0.009836588,
spok,-4.496129343,0.046206037,0.27503791,
CG8008,-4.489545459,3.30E-05,0.004546057,
Prosbeta2R1,-4.480775365,0.023757375,0.195629236,
CG14071,-4.472429918,0.021588399,0.186459806,
CR42848,-4.469572866,0.019188446,0.173930151,
Ir11a,-4.468254973,0.023580392,0.195116444,
mir-932,-4.468254973,0.023580392,0.195116444,
CR43280,-4.468254973,0.023580392,0.195116444,
CG8750,-4.466937298,0.065013624,0.330548922,
CG33287,-4.464078591,0.028836031,0.21488802,
glob2,-4.464078591,0.028836031,0.21488802,
CG14305,-4.461218445,0.019061117,0.173183863,
